Gender,Age,Height,Weight,BMR,Calories
1,22,163,49,1237.75,2351.727
0,55,155,88,1578.75,1894.498
0,22,168,85,1795,2154
0,25,165,112,2031.25,2437.502
0,21,168,90,1850,2543.756
0,20,168,111,2065,2478
0,23,165,60,1521.25,2357.938
1,25,160,95,1664,1996.8
0,19,160,73,1640,2255.003
0,23,173,90,1871.25,2245.502
1,28,168,48,1229,1474.8
0,21,163,85,1768.75,3360.625
0,20,157,66,1546.25,1855.502
0,23,160,118,2070,2484
1,25,163,47,1202.75,1443.298
1,48,145,60,1105.25,1326.302
0,27,175,80,1763.75,2116.498
0,21,168,75,1700,2040
1,33,163,48,1172.75,1612.531
1,35,140,91,1449,1738.8
0,23,178,85,1852.5,2223
1,22,165,60,1360.25,1632.302
1,23,152,50,1174,1408.8
0,24,165,69,1606.25,2208.596
0,21,173,88,1861.25,2233.502
1,21,157,56,1275.25,1530.302
0,23,160,43,1320,1815
1,41,163,47,1122.75,1543.779
0,40,168,116,2015,2418
1,21,155,56,1262.75,1957.262
0,34,170,65,1547.5,1857
0,21,163,68,1598.75,2198.28
0,20,160,65,1555,1866
1,50,155,87,1427.75,1713.298
0,22,173,59,1566.25,1879.502
0,24,165,47,1386.25,1663.502
1,47,163,45,1072.75,1287.298
1,33,145,81,1390.25,1668.302
0,22,157,45,1326.25,1591.502
0,26,170,61,1547.5,1857
0,22,165,61,1536.25,2112.339
1,22,163,75,1497.75,2059.407
0,25,155,44,1288.75,1546.498
1,49,152,84,1384,1660.8
1,21,152,60,1284,1540.8
1,22,157,56,1270.25,1524.302
0,22,160,101,1905,2286
0,26,168,56,1485,2041.87
0,33,163,98,1838.75,2206.498
1,44,157,59,1190.25,1428.302
0,22,175,78,1768.75,2122.498
0,25,168,47,1400,1680
0,55,165,85,1611.25,1933.502
0,30,168,57,1475,1770
0,25,168,118,2110,2532
0,23,173,75,1721.25,2969.16
0,20,160,47,1375,1650
1,21,165,62,1385.25,1662.302
0,30,163,84,1713.75,2356.407
1,40,163,68,1337.75,1605.298
0,56,155,85,1543.75,1852.498
0,31,178,78,1742.5,3005.818
0,31,163,68,1548.75,1858.498
1,25,155,44,1122.75,1347.298
1,19,145,73,1380.25,1656.302
0,26,170,120,2137.5,2565
0,26,168,54,1465,1758
0,45,170,65,1492.5,2052.182
0,22,178,74,1747.5,3014.437
0,25,170,107,2012.5,2415
0,23,170,75,1702.5,2043
0,25,173,75,1711.25,2951.905
0,23,170,85,1802.5,2163
1,20,165,78,1550.25,1860.302
1,22,160,45,1179,1414.8
0,27,168,117,2090,2508
0,25,183,79,1813.75,3446.127
1,22,160,65,1379,1654.8
1,29,142,90,1481.5,1777.8
0,23,157,87,1741.25,2089.502
1,22,152,93,1609,1930.8
0,25,160,70,1580,2448.997
1,46,160,46,1069,1469.876
0,25,160,118,2060,2472
0,28,165,49,1386.25,1663.502
0,24,165,99,1906.25,2287.502
0,30,173,70,1636.25,1963.502
0,25,157,88,1741.25,2089.502
1,52,163,90,1497.75,1797.298
0,29,168,52,1430,1716
0,23,170,68,1632.5,1959
0,22,165,78,1706.25,2047.502
0,24,160,43,1315,1578
1,27,157,77,1455.25,1746.302
1,28,160,92,1619,1942.8
0,22,163,113,2043.75,2452.498
1,25,137,74,1310.25,1572.302
0,26,168,68,1605,1926
1,60,157,79,1310.25,1572.302
1,30,155,80,1457.75,1749.298
1,25,178,132,2146.5,2575.8
1,29,145,93,1530.25,1836.302
0,38,157,102,1816.25,2179.502
1,23,150,49,1151.5,1381.8
0,23,175,110,2083.75,2500.498
1,41,142,68,1201.5,1441.8
0,29,160,80,1660,1992
0,20,163,77,1693.75,2032.498
0,23,178,56,1562.5,1875
1,21,132,50,1059,1270.8
1,19,142,67,1301.5,1561.8
0,20,165,40,1336.25,1603.502
1,31,160,80,1484,1780.8
1,22,142,58,1196.5,1645.188
0,24,168,64,1575,2165.628
0,39,170,50,1372.5,1647
1,36,160,47,1129,1354.8
0,24,168,75,1685,2022
0,23,178,91,1912.5,2295
0,27,168,98,1900,2280
